season,episode,timestamp,description
7,2,11:00,"<pre>Gus: Really?
Shawn: Ow! Gus, don't be the 'B' from apartment 23! You're better than that! We're all better than that! At least, I think we are.</pre>"
7,4,02:00,"<pre>Gus: I'm cool with it. I'm a family man now.
Shawn: Gus, don't be the remake of Yours, Mine, and Ours. For that matter, don't be the original either. It's okay to admit that you're freaking out on the inside.</pre>"
7,5,04:50,"<pre>Gus: No, panther scat.
Shawn: Gus, don't be the second time ever I saw your face.
Gus: I know my scat, Shawn.</pre>"
7,6,03:50,"<pre>Shawn: Time out. What is this? She's doing our 'C'mon, sons'?
Gus: No.
Rachael: Oh, Shawn, don't be such a Filipino Steve Perry.
Shawn: That doesn't make any sense.</pre>"
7,12,32:00,"<pre>Shawn: Be tough, man. Don't be weepy-boy Santos.
Lassiter: All right, Guster, keep him on the line.</pre>"
7,15,02:20,"<pre>Shawn: Gus, don't be the kites upon strings.
Shawn: We need to be a tad more cautious with our little secret.</pre>"
7,15,15:30,"<pre>Gus: You are embarrassing us.
Shawn: Gus, don't be the very model of a modern Major General. Look at those shells.</pre>"
8,1,29:20,"<pre>Gus: Shawn, if Ronnie catches us, he's gonna kill us.
Shawn: Gus, don't be The Howling 2: Your Sister's A Werewolf.</pre>"
8,2,06:34,"<pre>Gus: Dude, if Trout sees us inside here, he's probably gonna have us arrested.
Shawn: Gus, don't be the 100th Luftballon. We both know that yous and mees hit rock bottom, okay?</pre>"
9,1,15:30,"<pre>Gus: Shawn, we are eight feet underground at the end of an alley in Chinatown.
Shawn: Gus, don't be the comma in Earth, Wind & Fire. This is a glorious triumph, especially considering all the restrictions you gave me.</pre>"
9,1,22:30,"<pre>Gus: Shawn, we need to get out of here.
Shawn: Gus, don't be the tender sweetness of a seasick crocodile.</pre>"
9,1,0:25:40,"<pre>Gus: Shawn, there is no way that dog doesn't eat your face.
Shawn: Guys, don't be the C above middle C in 'Those Endearing Young Charms'.</pre>"
9,2,03:20,"<pre>Gus: No, Shawn. No more embarrassing nicknames, especially in front of peers and professionals.
Shawn: Gus, don't be the night your dad fell asleep inside your mom. We can't just stop doing bits we've been doing for ten years. We have fans. There'll be a huge backlash.</pre>"
